Year,CountyCode,County,HarvestedAcres,Yield,Production,Price
1981,99,Stanislaus,17550.0,6.81,119600.0,214.0
1981,107,Tulare,13431.0,9.48,127300.0,234.0
1981,113,Yolo,566.0,7.61,4307.0,362.0
1980,1,Alameda,1660.0,2.36,3918.0,542.0
1980,5,Amador,912.0,3.49,3183.0,450.0
1980,9,Calaveras,50.0,0.8,40.0,440.0
1980,19,Fresno,35170.0,10.21,359100.0,174.0
1980,29,Kern,36339.0,8.37,304000.0,152.0
1980,31,Kings,1122.0,7.9,8864.0,210.0
1980,33,Lake,2990.0,2.25,6722.0,462.0
1980,39,Madera,26251.0,9.5,249384.0,153.0
1980,47,Merced,13333.0,9.1,121300.0,176.0
1980,55,Napa,22261.0,3.6,80112.0,622.0
1980,65,Riverside,1701.0,4.77,8108.0,238.0
1980,67,Sacramento,3350.0,8.0,26800.0,210.0
1980,69,SanBenito,4500.0,3.0,13500.0,450.0
1980,71,SanBernardino,10060.0,3.0,30200.0,134.0
1980,73,SanDiego,164.0,2.1,344.0,279.0
1980,77,SanJoaquin,32639.0,5.61,183000.0,207.0
1980,83,SantaBarbara,5306.0,1.54,8171.0,499.0
1980,95,Solano,1138.0,3.99,4544.0,315.0
1980,97,Sonoma,23639.0,3.34,78941.0,506.0
1980,99,Stanislaus,17950.0,8.8,157900.0,183.0
1980,107,Tulare,15159.0,8.88,134600.0,170.0
1980,113,Yolo,566.0,8.7,4924.0,274.0
