,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
701,Leon,1994,33.0,R,Drama,Luc Besson,110,8.6,1,0.3
702,Leon,1994,33.0,R,Thriller,Luc Besson,110,8.6,1,0.3
703,Lethal Weapon,1987,26.0,R,Action,Richard Donner,110,7.6,1,0.23636363636363636
704,Lethal Weapon,1987,26.0,R,Crime,Richard Donner,110,7.6,1,0.23636363636363636
705,Lethal Weapon,1987,26.0,R,Thriller,Richard Donner,110,7.6,1,0.23636363636363636
706,Lethal Weapon 2,1989,33.0,Unrated,Action,Richard Donner,114,7.1,1,0.2894736842105263
707,Lethal Weapon 2,1989,33.0,Unrated,Thriller,Richard Donner,114,7.1,1,0.2894736842105263
708,Lethal Weapon 3,1992,17.0,Unrated,Action,Richard Donner,118,6.6,1,0.1440677966101695
709,Lethal Weapon 3,1992,17.0,Unrated,Crime,Richard Donner,118,6.6,1,0.1440677966101695
710,Lethal Weapon 3,1992,17.0,Unrated,Thriller,Richard Donner,118,6.6,1,0.1440677966101695
711,Lethal Weapon 4,1998,30.0,R,Action,Richard Donner,127,6.6,1,0.23622047244094488
712,Lethal Weapon 4,1998,30.0,R,Crime,Richard Donner,127,6.6,1,0.23622047244094488
713,Lethal Weapon 4,1998,30.0,R,Thriller,Richard Donner,127,6.6,1,0.23622047244094488
714,Letters from Iwo Jima,2006,84.0,R,Drama,Clint Eastwood,141,7.9,1,0.5957446808510638
715,Letters from Iwo Jima,2006,84.0,R,History,Clint Eastwood,141,7.9,1,0.5957446808510638
716,Letters from Iwo Jima,2006,84.0,R,War,Clint Eastwood,141,7.9,1,0.5957446808510638
717,Live and Let Die,1973,11.0,PG,Action,Guy Hamilton,121,6.8,1,0.09090909090909091
718,Live and Let Die,1973,11.0,PG,Adventure,Guy Hamilton,121,6.8,1,0.09090909090909091
719,Live and Let Die,1973,11.0,PG,Crime,Guy Hamilton,121,6.8,1,0.09090909090909091
720,Live and Let Die,1973,11.0,PG,Thriller,Guy Hamilton,121,6.8,1,0.09090909090909091
721,"Lock, Stock and Two Smoking Barrels",1998,16.0,R,Crime,Guy Ritchie,107,8.2,1,0.14953271028037382
722,"Lock, Stock and Two Smoking Barrels",1998,16.0,R,Thriller,Guy Ritchie,107,8.2,1,0.14953271028037382
723,Lone Wolf McQuade,1983,61.0,PG,Action,Steve Carver,107,6.1,1,0.5700934579439252
724,Lone Wolf McQuade,1983,61.0,PG,Crime,Steve Carver,107,6.1,1,0.5700934579439252
725,Lone Wolf McQuade,1983,61.0,PG,Drama,Steve Carver,107,6.1,1,0.5700934579439252
726,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,90.0,Unrated,Action,Kenji Misumi,89,7.8,1,1.0112359550561798
727,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,90.0,Unrated,Drama,Kenji Misumi,89,7.8,1,1.0112359550561798
728,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,90.0,Unrated,Thriller,Kenji Misumi,89,7.8,1,1.0112359550561798
729,Lone Wolf and Cub: Baby Cart to Hades,1972,102.0,R,Action,Kenji Misumi,89,7.8,1,1.146067415730337
730,Lone Wolf and Cub: Baby Cart to Hades,1972,102.0,R,Drama,Kenji Misumi,89,7.8,1,1.146067415730337
731,Lone Wolf and Cub: Sword of Vengeance,1972,71.0,Unrated,Action,Kenji Misumi,83,7.9,1,0.8554216867469879
732,Lone Wolf and Cub: Sword of Vengeance,1972,71.0,Unrated,Drama,Kenji Misumi,83,7.9,1,0.8554216867469879
733,Lone Wolf and Cub: White Heaven in Hell,1974,169.0,Unrated,Action,Yoshiyuki Kuroda,83,7.5,1,2.036144578313253
734,Lone Wolf and Cub: White Heaven in Hell,1974,169.0,Unrated,Drama,Yoshiyuki Kuroda,83,7.5,1,2.036144578313253
735,Lone Wolf and Cub: White Heaven in Hell,1974,169.0,Unrated,Fantasy,Yoshiyuki Kuroda,83,7.5,1,2.036144578313253
736,Lone Wolf and Cub: White Heaven in Hell,1974,169.0,Unrated,History,Yoshiyuki Kuroda,83,7.5,1,2.036144578313253
737,Lord of the Rings: Fellowship of the Ring,2001,118.0,PG-13,Action,Peter Jackson,178,8.8,1,0.6629213483146067
738,Lord of the Rings: Fellowship of the Ring,2001,118.0,PG-13,Adventure,Peter Jackson,178,8.8,1,0.6629213483146067
739,Lord of the Rings: Fellowship of the Ring,2001,118.0,PG-13,Fantasy,Peter Jackson,178,8.8,1,0.6629213483146067
740,Lord of the Rings: Return of the King,2003,836.0,PG-13,Action,Peter Jackson,201,8.9,1,4.159203980099503
741,Lord of the Rings: Return of the King,2003,836.0,PG-13,Adventure,Peter Jackson,201,8.9,1,4.159203980099503
742,Lord of the Rings: Return of the King,2003,836.0,PG-13,Fantasy,Peter Jackson,201,8.9,1,4.159203980099503
743,Lord of the Rings: Two Towers,2002,468.0,PG-13,Action,Peter Jackson,179,8.7,1,2.6145251396648046
744,Lord of the Rings: Two Towers,2002,468.0,PG-13,Adventure,Peter Jackson,179,8.7,1,2.6145251396648046
745,Lord of the Rings: Two Towers,2002,468.0,PG-13,Fantasy,Peter Jackson,179,8.7,1,2.6145251396648046
746,Lucky Number Slevin,2006,19.0,R,Crime,Paul McGuigan,110,7.7,1,0.17272727272727273
747,Lucky Number Slevin,2006,19.0,R,Drama,Paul McGuigan,110,7.7,1,0.17272727272727273
748,Lucky Number Slevin,2006,19.0,R,Mystery,Paul McGuigan,110,7.7,1,0.17272727272727273
749,Machete,2010,81.0,R,Action,Ethan Maniquis|Robert Rodriguez,105,6.7,1,0.7714285714285715
750,Machete,2010,81.0,R,Crime,Ethan Maniquis|Robert Rodriguez,105,6.7,1,0.7714285714285715
751,Machete,2010,81.0,R,Thriller,Ethan Maniquis|Robert Rodriguez,105,6.7,1,0.7714285714285715
752,Mad Max,1979,9.0,R,Action,George Miller,88,7.0,1,0.10227272727272728
753,Mad Max,1979,9.0,R,Adventure,George Miller,88,7.0,1,0.10227272727272728
754,Mad Max,1979,9.0,R,Thriller,George Miller,88,7.0,1,0.10227272727272728
755,Mad Max 2: Road Warrior,1981,44.0,R,Action,George Miller,95,7.6,1,0.4631578947368421
756,Mad Max 2: Road Warrior,1981,44.0,R,Adventure,George Miller,95,7.6,1,0.4631578947368421
757,Mad Max 2: Road Warrior,1981,44.0,R,Thriller,George Miller,95,7.6,1,0.4631578947368421
758,Mad Max Beyond Thunderdome,1985,12.0,PG-13,Action,George Miller|George Ogilvie,107,6.1,1,0.11214953271028037
759,Mad Max Beyond Thunderdome,1985,12.0,PG-13,Adventure,George Miller|George Ogilvie,107,6.1,1,0.11214953271028037
760,Mad Max Beyond Thunderdome,1985,12.0,PG-13,Thriller,George Miller|George Ogilvie,107,6.1,1,0.11214953271028037
761,Major Dundee,1965,147.0,Approved,Adventure,Sam Peckinpah,123,6.8,1,1.1951219512195121
